id,nombre,apellido,email,gender,final grade
1,Keriann,Winspear,kwinspear0@bloglines.com,Female,42
2,Enrichetta,Wallhead,ewallhead1@wsj.com,Polygender,81
3,Bram,Jozwicki,bjozwicki2@alexa.com,Male,96
4,Neilla,Ducroe,nducroe3@mail.ru,Female,68
5,Susanetta,Bracknell,sbracknell4@acquirethisname.com,Female,87
6,Marquita,Chillcot,mchillcot5@blogger.com,Female,59
7,Byram,Brammall,bbrammall6@hugedomains.com,Male,54
8,Hazel,Sowood,hsowood7@nbcnews.com,Male,56
9,Glynn,Stodhart,gstodhart8@timesonline.co.uk,Male,40
10,Maurizio,Addison,maddison9@mapquest.com,Male,88
11,Christina,Moses,cmosesa@macromedia.com,Female,87
12,Lanette,McMillan,lmcmillanb@yelp.com,Non-binary,63
13,Kelley,Happert,khappertc@reference.com,Male,66
14,Kermie,MacQuarrie,kmacquarried@economist.com,Male,47
15,Melisande,Blune,mblunee@sina.com.cn,Female,95
16,Fredi,Juniper,fjuniperf@mozilla.org,Female,95
17,Gates,Ayrton,gayrtong@bigcartel.com,Female,60
18,Debora,Parffrey,dparffreyh@aol.com,Agender,48
19,Bronny,Windows,bwindowsi@cloudflare.com,Male,59
20,Laurent,Sherlaw,lsherlawj@t.co,Agender,60
21,Neville,Semrad,nsemradk@washington.edu,Male,89
22,Solly,De Rye Barrett,sderyebarrettl@mediafire.com,Male,40
23,Norine,Ingarfield,ningarfieldm@technorati.com,Female,56
24,Petronia,Zapata,pzapatan@opensource.org,Female,96
25,Blair,Dowding,bdowdingo@webs.com,Female,75
26,Ginger,Schiefersten,gschieferstenp@samsung.com,Male,59
27,Denys,Laimable,dlaimableq@photobucket.com,Male,70
28,Kristel,Tiron,ktironr@cnbc.com,Female,90
29,Sawyer,Coster,scosters@apple.com,Male,83
30,Cherie,Lackham,clackhamt@people.com.cn,Female,52
31,Thomasina,Giacomo,tgiacomou@ftc.gov,Female,92
32,Alano,Guest,aguestv@delicious.com,Male,63
33,Maggy,Triggle,mtrigglew@creativecommons.org,Female,82
34,Analise,Teml,atemlx@bigcartel.com,Female,92
35,Cindy,Croke,ccrokey@vistaprint.com,Female,80
36,Brandi,Mallia,bmalliaz@prweb.com,Female,94
37,Bucky,Pettiford,bpettiford10@seesaa.net,Male,100
38,Norry,Rothera,nrothera11@lycos.com,Female,65
39,Kayley,Stryde,kstryde12@drupal.org,Female,72
40,Pat,Brocks,pbrocks13@eventbrite.com,Female,75
41,Raychel,Rosenauer,rrosenauer14@shutterfly.com,Female,56
42,Jackson,Caswell,jcaswell15@webs.com,Male,76
43,Sheridan,Daenen,sdaenen16@cloudflare.com,Male,71
44,Drew,Izzat,dizzat17@liveinternet.ru,Male,66
45,Addi,Tute,atute18@goo.gl,Female,89
46,Honoria,Mattys,hmattys19@joomla.org,Non-binary,68
47,Nicolas,McCord,nmccord1a@delicious.com,Male,83
48,Lay,Garci,lgarci1b@mozilla.org,Male,94
49,Tamara,Matzkaitis,tmatzkaitis1c@utexas.edu,Female,66
50,Giacopo,Ivel,givel1d@disqus.com,Male,89
